Timestamp,TP9,AF7,AF8,TP10,RightAUX
1732201843.944961,120.60546875,-88.37890625,-388.18359375,6.34765625,0.0
1732201843.9488666,86.42578125,-108.88671875,-434.08203125,13.18359375,0.0
1732201843.952779,80.078125,-114.2578125,-436.03515625,26.85546875,0.0
1732201843.9566846,92.7734375,-107.421875,-377.9296875,18.06640625,0.0
1732201843.9605901,110.83984375,-115.72265625,-440.91796875,-6.8359375,0.0
1732201843.9644954,111.328125,-133.7890625,-591.30859375,-4.8828125,0.0
1732201843.968401,77.1484375,-130.859375,-602.05078125,8.30078125,0.0
1732201843.9723065,57.6171875,-123.53515625,-514.6484375,16.11328125,0.0
1732201843.976212,70.3125,-111.328125,-483.3984375,3.90625,0.0
1732201843.9801176,42.48046875,-147.4609375,-668.45703125,-15.13671875,0.0
1732201843.984023,36.62109375,-162.59765625,-805.6640625,-9.765625,0.0
1732201843.9879286,39.55078125,-103.515625,-568.359375,2.44140625,0.0
1732201843.9918342,23.4375,-118.65234375,-592.28515625,-3.41796875,0.0
1732201843.9957397,6.8359375,-133.30078125,-656.25,-7.8125,0.0
1732201843.9996514,14.6484375,-121.09375,-650.87890625,-19.53125,0.0
1732201844.003557,-7.32421875,-125.9765625,-693.359375,-50.78125,0.0
1732201844.0074625,-49.31640625,-139.6484375,-716.30859375,-47.8515625,0.0
1732201844.011368,-46.875,-132.8125,-679.6875,-34.66796875,0.0
1732201844.0152736,-39.0625,-127.9296875,-686.03515625,-50.29296875,0.0
1732201844.019179,-60.546875,-149.90234375,-791.015625,-40.52734375,0.0
1732201844.0230846,-117.1875,-152.34375,-835.9375,-46.875,0.0
1732201844.0269902,-124.51171875,-160.15625,-852.05078125,-34.66796875,0.0
1732201844.0308957,-103.02734375,-123.53515625,-740.234375,-9.765625,0.0
1732201844.0348012,-101.07421875,-96.6796875,-684.08203125,-38.0859375,0.0
1732201844.0387068,-117.1875,-138.18359375,-817.3828125,-67.87109375,0.0
1732201844.0426123,-107.91015625,-139.6484375,-890.625,-72.265625,0.0
1732201844.0465238,-91.30859375,-118.1640625,-828.125,-42.96875,0.0
1732201844.050429,-95.703125,-104.00390625,-743.1640625,-31.73828125,0.0
1732201844.0543346,-107.91015625,-120.1171875,-808.59375,-48.828125,0.0
1732201844.0582402,-114.74609375,-132.8125,-884.27734375,-73.2421875,0.0
1732201844.0621457,-135.25390625,-125.0,-863.76953125,-80.56640625,0.0
1732201844.0660512,-164.55078125,-118.65234375,-883.7890625,-59.08203125,0.0
1732201844.0699568,-186.5234375,-126.46484375,-900.390625,-54.6875,0.0
1732201844.0738623,-201.171875,-125.48828125,-897.4609375,-56.15234375,0.0
1732201844.0777678,-211.42578125,-81.0546875,-795.41015625,-66.89453125,0.0
1732201844.0816734,-215.33203125,-104.4921875,-858.3984375,-61.5234375,0.0
1732201844.085579,-214.35546875,-139.16015625,-916.015625,-44.43359375,0.0
1732201844.0894845,-204.1015625,-113.28125,-817.87109375,-50.29296875,0.0
1732201844.0933957,-223.6328125,-99.609375,-783.203125,-75.1953125,0.0
1732201844.0973012,-242.67578125,-124.51171875,-854.4921875,-92.7734375,0.0
1732201844.1012068,-225.09765625,-142.08984375,-934.08203125,-97.65625,0.0
1732201844.1051123,-237.3046875,-128.41796875,-916.9921875,-86.9140625,0.0
1732201844.1090178,-252.44140625,-102.5390625,-835.9375,-94.23828125,0.0
1732201844.1129234,-244.140625,-104.4921875,-852.5390625,-104.00390625,0.0
1732201844.1168287,-262.20703125,-135.25390625,-895.5078125,-74.70703125,0.0
1732201844.1207342,-289.55078125,-117.1875,-867.67578125,-87.40234375,0.0
1732201844.1246397,-318.359375,-91.30859375,-802.24609375,-127.9296875,0.0
1732201844.1285453,-287.109375,-114.2578125,-785.64453125,-107.91015625,0.0
1732201844.1324508,-255.37109375,-121.58203125,-784.66796875,-84.9609375,0.0
1732201844.1363564,-265.13671875,-117.1875,-782.2265625,-99.609375,0.0
1732201844.1402674,-255.859375,-112.79296875,-755.859375,-87.40234375,0.0
1732201844.144173,-275.87890625,-128.90625,-826.66015625,-75.1953125,0.0
1732201844.1480784,-259.765625,-118.65234375,-761.71875,-78.61328125,0.0
1732201844.151984,-251.46484375,-95.703125,-537.109375,-81.0546875,0.0
1732201844.1558895,-280.76171875,-103.515625,-559.5703125,-87.890625,0.0
1732201844.1597948,-264.16015625,-135.7421875,-768.5546875,-80.078125,0.0
1732201844.1637003,-234.375,-140.13671875,-805.17578125,-73.2421875,0.0
1732201844.1676059,-285.64453125,-80.078125,-522.4609375,-65.91796875,0.0
1732201844.1715114,-281.73828125,-54.19921875,-316.40625,-40.0390625,0.0
1732201844.175417,-250.9765625,-105.95703125,-461.42578125,-46.875,0.0
1732201844.1793225,-281.25,-120.60546875,-630.859375,-91.30859375,0.0
1732201844.183228,-268.06640625,-80.078125,-438.4765625,-95.21484375,0.0
1732201844.1871414,-276.85546875,-77.63671875,-305.17578125,-61.5234375,0.0
1732201844.1910467,-298.828125,-88.37890625,-248.53515625,-46.38671875,0.0
1732201844.1949522,-296.875,-83.0078125,-134.765625,-76.171875,0.0
1732201844.1988578,-316.40625,-83.49609375,-121.09375,-94.23828125,0.0
1732201844.2027633,-335.9375,-100.09765625,-238.76953125,-90.33203125,0.0
1732201844.2066689,-313.96484375,-118.1640625,-293.45703125,-60.05859375,0.0
1732201844.2105744,-290.52734375,-86.42578125,-58.59375,-53.22265625,0.0
1732201844.21448,-328.125,-62.5,108.88671875,-84.9609375,0.0
1732201844.2183855,-359.375,-102.5390625,-66.40625,-99.609375,0.0
1732201844.222291,-312.01171875,-118.65234375,-245.1171875,-78.61328125,0.0
1732201844.2261965,-293.9453125,-75.68359375,-19.53125,-56.15234375,0.0
1732201844.230102,-334.9609375,-62.01171875,186.03515625,-63.4765625,0.0
1732201844.234015,-344.23828125,-89.84375,115.234375,-75.68359375,0.0
1732201844.2379205,-322.75390625,-91.796875,77.1484375,-73.2421875,0.0
1732201844.241826,-285.15625,-68.84765625,134.27734375,-67.87109375,0.0
1732201844.2457316,-277.83203125,-60.546875,174.31640625,-59.5703125,0.0
1732201844.249637,-286.1328125,-71.2890625,147.4609375,-48.33984375,0.0
1732201844.2535424,-286.1328125,-73.2421875,115.234375,-48.828125,0.0
1732201844.257448,-303.22265625,-47.8515625,187.98828125,-64.94140625,0.0
1732201844.2613535,-291.9921875,-33.69140625,240.72265625,-56.640625,0.0
1732201844.265259,-293.9453125,-73.2421875,14.6484375,-38.57421875,0.0
1732201844.2691646,-281.25,-68.84765625,40.0390625,-34.1796875,0.0
1732201844.27307,-276.85546875,-13.18359375,336.42578125,-31.73828125,0.0
1732201844.2769756,-286.62109375,-37.59765625,248.046875,-37.59765625,0.0
1732201844.280888,-290.0390625,-45.8984375,244.62890625,-33.69140625,0.0
1732201844.2847936,-333.49609375,-32.71484375,310.546875,-42.96875,0.0
1732201844.2886992,-326.171875,-26.3671875,376.46484375,-48.33984375,0.0
1732201844.2926047,-275.390625,-27.34375,418.9453125,-55.6640625,0.0
1732201844.2965102,-286.1328125,-48.33984375,346.19140625,-73.2421875,0.0
1732201844.3004158,-283.69140625,-51.26953125,227.05078125,-43.9453125,0.0
1732201844.3043213,-249.0234375,-18.5546875,253.90625,-31.73828125,0.0
1732201844.3082268,-248.046875,7.8125,285.15625,-30.2734375,0.0
1732201844.3121324,-217.7734375,-14.6484375,98.6328125,-8.7890625,0.0
